day,menu,weather,footfall,prepared,consed,wasted
Tue,Chapati,Rainy,310,317,289,28
Thu,Pongal,Cloudy,479,521,454,67
Fri,Pongal,Cloudy,330,315,299,16
Mon,Pongal,Cloudy,447,447,413,34
Tue,Biryani,Sunny,527,497,470,27
Tue,Meals,Rainy,412,421,368,53
Sat,Fried Rice,Rainy,123,121,109,12
Tue,Pongal,Sunny,313,312,288,24
Tue,Fried Rice,Rainy,391,373,343,30
Wed,Chapati,Cloudy,325,319,285,34
Sun,Fried Rice,Cloudy,272,270,245,25
Tue,Fried Rice,Rainy,398,405,354,51
Sun,Pongal,Sunny,222,223,195,28
Fri,Chapati,Cloudy,431,438,393,45
Sun,Fried Rice,Sunny,193,196,178,18
Sat,Biryani,Cloudy,448,475,416,59
Sat,Fried Rice,Sunny,121,118,109,9
Wed,Chapati,Sunny,428,386,365,21
Mon,Biryani,Rainy,469,451,420,31
Thu,Biryani,Sunny,421,390,368,22
Thu,Meals,Cloudy,322,314,282,32
Mon,Meals,Sunny,419,405,360,45
Mon,Pongal,Cloudy,161,156,139,17
Sun,Pongal,Cloudy,150,146,129,17
Wed,Pongal,Cloudy,417,418,366,52
Mon,Meals,Sunny,289,277,259,18
Wed,Fried Rice,Rainy,490,523,458,65
Sat,Biryani,Sunny,219,209,196,13
Thu,Chapati,Cloudy,557,522,493,29
Sat,Biryani,Rainy,268,257,228,29
Wed,Biryani,Rainy,561,531,493,38
Thu,Biryani,Cloudy,395,369,339,30
Mon,Chapati,Rainy,434,441,403,38
Sun,Biryani,Sunny,188,198,174,24
Sun,Meals,Sunny,472,478,436,42
Fri,Fried Rice,Cloudy,255,242,225,17
Mon,Pongal,Cloudy,186,178,161,17
Tue,Meals,Sunny,290,301,267,34
Sat,Biryani,Cloudy,408,402,379,23
Sun,Pongal,Cloudy,160,162,151,11
Wed,Meals,Rainy,552,560,499,61
Mon,Fried Rice,Cloudy,511,472,448,24
Sun,Meals,Rainy,330,331,291,40
Tue,Meals,Cloudy,591,558,511,47
Sat,Fried Rice,Rainy,360,375,340,35
Tue,Meals,Sunny,531,533,501,32
Tue,Pongal,Cloudy,193,195,175,20
Fri,Pongal,Sunny,537,539,483,56
Thu,Chapati,Sunny,506,471,438,33
Sun,Pongal,Cloudy,140,137,129,8
Tue,Fried Rice,Sunny,466,497,436,61
Wed,Pongal,Rainy,303,286,271,15
Fri,Fried Rice,Rainy,180,162,155,7
Sat,Fried Rice,Rainy,245,257,228,29
Tue,Biryani,Cloudy,365,346,323,23
Mon,Meals,Sunny,315,320,281,39
Fri,Fried Rice,Rainy,213,215,197,18
Wed,Biryani,Cloudy,601,538,511,27
Tue,Chapati,Sunny,452,440,389,51
Fri,Fried Rice,Cloudy,210,213,196,17
Fri,Fried Rice,Sunny,451,427,397,30
Sat,Chapati,Sunny,283,288,258,30
Tue,Meals,Sunny,541,537,477,60
Tue,Meals,Cloudy,365,365,319,46
Mon,Meals,Rainy,299,288,263,25
Sat,Biryani,Sunny,286,286,265,21
Sat,Fried Rice,Sunny,155,155,142,13
Thu,Fried Rice,Cloudy,366,378,333,45
Thu,Meals,Cloudy,532,485,455,30
Sun,Fried Rice,Rainy,401,419,375,44
Thu,Meals,Sunny,537,522,469,53
Sat,Pongal,Sunny,100,101,90,11
Sat,Chapati,Cloudy,380,356,329,27
Wed,Fried Rice,Sunny,481,458,427,31
Sun,Pongal,Cloudy,512,519,471,48
Sun,Meals,Rainy,397,378,339,39
Wed,Meals,Rainy,475,462,435,27
Tue,Biryani,Sunny,313,332,289,43
Fri,Pongal,Sunny,535,507,459,48
Sun,Biryani,Rainy,232,221,209,12
Wed,Pongal,Rainy,462,462,405,57
Thu,Chapati,Sunny,286,277,260,17
Mon,Fried Rice,Sunny,273,285,257,28
Fri,Pongal,Sunny,529,517,470,47
Sat,Chapati,Sunny,238,224,207,17
Mon,Pongal,Cloudy,380,368,344,24
Wed,Fried Rice,Cloudy,254,249,222,27
Wed,Pongal,Rainy,326,325,286,39
Thu,Fried Rice,Rainy,340,353,314,39
Sun,Fried Rice,Sunny,379,364,333,31
Fri,Pongal,Sunny,468,452,400,52
Tue,Biryani,Sunny,298,304,270,34
Wed,Chapati,Cloudy,229,235,208,27
Mon,Chapati,Rainy,310,311,278,33
Sat,Pongal,Cloudy,325,319,299,20
Mon,Fried Rice,Sunny,571,582,521,61
Tue,Chapati,Rainy,150,154,137,17
Fri,Pongal,Cloudy,472,479,429,50
Tue,Fried Rice,Sunny,575,528,498,30
Fri,Chapati,Cloudy,221,212,195,17
Sat,Pongal,Cloudy,251,254,234,20
Fri,Biryani,Sunny,483,466,429,37
Fri,Pongal,Rainy,313,330,290,40
Sat,Pongal,Rainy,242,244,218,26
Thu,Biryani,Rainy,502,474,445,29
Tue,Meals,Sunny,345,321,304,17
Mon,Chapati,Sunny,530,507,451,56
Wed,Meals,Sunny,292,292,259,33
Mon,Fried Rice,Rainy,392,361,338,23
Tue,Chapati,Cloudy,412,397,372,25
Tue,Biryani,Cloudy,346,323,299,24
Thu,Chapati,Sunny,225,229,203,26
Wed,Biryani,Sunny,594,628,550,78
